[Sat Apr 12 16:03:46 2025] Connected to nuclearControl
[Sat Apr 12 16:03:46 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:04:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:05:36 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:06:06 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:06:26 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:06:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:07:16 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:08:36 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:08:46 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:08:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:09:26 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:09:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:10:16 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:10:26 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:11:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:12:46 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:12:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:13:56 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:14:16 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
[Sat Apr 12 16:14:26 2025] Sent intelligence: THREAT:ENEMY_AIRCRAFT
